Metric_1,Metric_2,Correlation,Strength,Direction
demo_age_5_17,demo_age_17_,0.8572104122906273,Strong,Positive
Migrant_Hunger_Score,Governance_Risk_Score,0.8499238109131073,Strong,Positive
Migrant_Hunger_Score,Skill_Gap_Migration_Flow,0.8109374481689872,Strong,Positive
bio_age_5_17,bio_age_17_,0.8073687844595517,Strong,Positive
age_0_5,age_5_17,0.7785231459144135,Strong,Positive
Migrant_Hunger_Score,Village_Hollow_Out_Rate,0.7722328031692431,Strong,Positive
Village_Hollow_Out_Rate,Governance_Risk_Score,0.7637947769781208,Strong,Positive
Village_Hollow_Out_Rate,Skill_Gap_Migration_Flow,0.6994722959726845,Moderate,Positive
demo_age_5_17,bio_age_17_,0.6432900585856596,Moderate,Positive
demo_age_17_,bio_age_17_,0.638213294943106,Moderate,Positive
demo_age_5_17,bio_age_5_17,0.6352056537656562,Moderate,Positive
Skill_Gap_Migration_Flow,Governance_Risk_Score,0.6103062628916432,Moderate,Positive
demo_age_17_,bio_age_5_17,0.5981381913924214,Moderate,Positive
School_Dropout_Risk_Index,Governance_Risk_Score,0.5289964814065348,Moderate,Positive
age_5_17,age_18_greater,0.48347371007751466,Moderate,Positive
age_0_5,bio_age_5_17,0.385731988041141,Weak,Positive
age_0_5,demo_age_5_17,0.37580443662430413,Weak,Positive
Electoral_Discrepancy_Index,Governance_Risk_Score,0.35698041630680555,Weak,Positive
Migrant_Hunger_Score,Electoral_Discrepancy_Index,0.356837121249092,Weak,Positive
age_0_5,bio_age_17_,0.3557220065786232,Weak,Positive
age_0_5,demo_age_17_,0.34750487401511315,Weak,Positive
age_0_5,age_18_greater,0.3466600300448041,Weak,Positive
age_5_17,bio_age_5_17,0.3337855565258481,Weak,Positive
demo_age_17_,Skill_Gap_Migration_Flow,0.31089469002428,Weak,Positive
age_5_17,bio_age_17_,0.2887288841095728,Weak,Positive
demo_age_17_,Migrant_Hunger_Score,0.27815253992140115,Weak,Positive
demo_age_5_17,Skill_Gap_Migration_Flow,0.275245192790845,Weak,Positive
age_5_17,demo_age_5_17,0.27277563206601724,Weak,Positive
age_5_17,demo_age_17_,0.2568109834542202,Weak,Positive
School_Dropout_Risk_Index,Skill_Gap_Migration_Flow,-0.25103099442351623,Weak,Negative
demo_age_5_17,Migrant_Hunger_Score,0.24274974273948718,Weak,Positive
bio_age_17_,Skill_Gap_Migration_Flow,0.23566782671393943,Weak,Positive
bio_age_5_17,Skill_Gap_Migration_Flow,0.22893501060521873,Weak,Positive
age_0_5,Electoral_Discrepancy_Index,0.22884510343761283,Weak,Positive
demo_age_17_,Governance_Risk_Score,0.22707516036606187,Weak,Positive
demo_age_5_17,Governance_Risk_Score,0.20596835959576007,Weak,Positive
age_5_17,Electoral_Discrepancy_Index,0.18406189779873827,Weak,Positive
demo_age_17_,Village_Hollow_Out_Rate,0.17625882382728192,Weak,Positive
age_18_greater,Electoral_Discrepancy_Index,0.16370030597967378,Weak,Positive
demo_age_5_17,Village_Hollow_Out_Rate,0.153188120967253,Weak,Positive
age_18_greater,bio_age_5_17,0.142999041891914,Weak,Positive
age_18_greater,bio_age_17_,0.1428660584193558,Weak,Positive
Electoral_Discrepancy_Index,Skill_Gap_Migration_Flow,0.13292648245244537,Weak,Positive
bio_age_5_17,School_Dropout_Risk_Index,-0.12826320609461822,Weak,Negative
School_Dropout_Risk_Index,Village_Hollow_Out_Rate,0.11996640454508714,Weak,Positive
bio_age_17_,School_Dropout_Risk_Index,-0.118033557837894,Weak,Negative
age_0_5,Skill_Gap_Migration_Flow,0.11150248004143942,Weak,Positive
age_18_greater,demo_age_5_17,0.11083857420214745,Weak,Positive
age_0_5,Migrant_Hunger_Score,0.10617622394924968,Weak,Positive
age_18_greater,demo_age_17_,0.10237914438984934,Weak,Positive
age_0_5,Governance_Risk_Score,0.090206660814023,Weak,Positive
bio_age_17_,Migrant_Hunger_Score,0.08820438951935253,Weak,Positive
bio_age_5_17,Migrant_Hunger_Score,0.08582705526442375,Weak,Positive
age_5_17,Skill_Gap_Migration_Flow,0.07238840378571702,Weak,Positive
School_Dropout_Risk_Index,Migrant_Hunger_Score,0.06341310139190874,Weak,Positive
age_5_17,Governance_Risk_Score,0.05567376988511077,Weak,Positive
age_5_17,Migrant_Hunger_Score,0.05536956160973834,Weak,Positive
demo_age_17_,Electoral_Discrepancy_Index,0.04742465032651522,Weak,Positive
Village_Hollow_Out_Rate,Electoral_Discrepancy_Index,-0.04480745389654026,Weak,Negative
demo_age_5_17,Electoral_Discrepancy_Index,0.0446215728379869,Weak,Positive
bio_age_5_17,Electoral_Discrepancy_Index,0.0408432219580645,Weak,Positive
age_0_5,Village_Hollow_Out_Rate,-0.04055751243563983,Weak,Negative
bio_age_17_,Governance_Risk_Score,0.036513568582923484,Weak,Positive
bio_age_17_,Electoral_Discrepancy_Index,0.035693037930704996,Weak,Positive
age_5_17,Village_Hollow_Out_Rate,-0.0344074511623251,Weak,Negative
age_18_greater,Governance_Risk_Score,0.032135629865951885,Weak,Positive
bio_age_5_17,Governance_Risk_Score,0.029179589556640424,Weak,Positive
age_18_greater,Village_Hollow_Out_Rate,-0.02837212798035023,Weak,Negative
School_Dropout_Risk_Index,Electoral_Discrepancy_Index,0.028046798232889587,Weak,Positive
age_18_greater,Skill_Gap_Migration_Flow,0.022287621312252964,Weak,Positive
age_5_17,School_Dropout_Risk_Index,-0.019076326836641542,Weak,Negative
age_0_5,School_Dropout_Risk_Index,-0.01698951032177466,Weak,Negative
age_18_greater,Migrant_Hunger_Score,0.009454417920179793,Weak,Positive
demo_age_5_17,School_Dropout_Risk_Index,0.0087402997503685,Weak,Positive
age_18_greater,School_Dropout_Risk_Index,-0.007322852908582247,Weak,Negative
demo_age_17_,School_Dropout_Risk_Index,-0.0030387773412451848,Weak,Negative
bio_age_17_,Village_Hollow_Out_Rate,0.002490591933302748,Weak,Positive
bio_age_5_17,Village_Hollow_Out_Rate,0.0013916770106871673,Weak,Positive
